symbol,total_15m_candles,buy_breakouts,sell_breakouts,est_buy_trades,est_sell_trades,est_total_trades
AARTIIND,1578,1364,180,545,72,617
ACMESOLAR,1578,1473,11,589,4,593
ADANIGREEN,1539,261,1132,104,452,556
AEGISLOG,1578,1553,0,621,0,621
ANURAS,1579,7,1223,2,489,491
ATGL,1578,114,1196,45,478,523
BERGEPAINT,1578,109,1383,43,553,596
BSE,1539,0,1501,0,600,600
CDSL,1539,743,378,297,151,448
CHENNPETRO,1578,1343,73,537,29,566
CHOICEIN,1578,1572,0,628,0,628
CHOLAFIN,1539,1453,26,581,10,591
COHANCE,1578,15,1329,6,531,537
CONCOR,1539,1274,168,509,67,576
CONCORDBIO,1578,1068,454,427,181,608
DLF,1539,1500,8,600,3,603
EMAMILTD,1578,703,628,281,251,532
FACT,1580,10,1538,4,615,619
GESHIP,1578,104,1328,41,531,572
GRAPHITE,1578,1125,311,450,124,574
HCLTECH,1539,1433,77,573,30,603
ICICIGI,1539,0,1526,0,610,610
JUBLFOOD,1539,1236,198,494,79,573
JYOTICNC,1578,1572,0,628,0,628
KAYNES,1539,1365,105,546,42,588
LAURUSLABS,1539,1410,92,564,36,600
LICHSGFIN,1539,812,625,324,250,574
MANKIND,1539,130,1242,52,496,548
MARICO,1539,1195,256,478,102,580
NAUKRI,1539,1400,111,560,44,604
OBEROIRLTY,1539,1475,33,590,13,603
OFSS,1539,1537,0,614,0,614
PATANJALI,1539,0,1451,0,580,580
POLICYBZR,1539,815,562,326,224,550
SUNPHARMA,1539,1203,189,481,75,556
SYNGENE,1578,9,1431,3,572,575
TATAINVEST,1578,304,944,121,377,498
TEGA,1579,146,1322,58,528,586
UNOMINDA,1539,1365,84,546,33,579
USHAMART,1578,1521,38,608,15,623
WOCKPHARMA,1578,239,1200,95,480,575
