symbol,total_15m_candles,buy_breakouts,sell_breakouts,est_buy_trades,est_sell_trades,est_total_trades,combined_multiplier
AARTIIND,1578,1364,180,654,86,740,1.13
ACMESOLAR,1578,1473,11,707,5,712,1.13
ADANIGREEN,1539,261,1132,125,543,668,1.13
AEGISLOG,1578,1553,0,745,0,745,1.13
ANURAS,1579,7,1223,3,587,590,1.13
ATGL,1578,114,1196,54,574,628,1.13
BERGEPAINT,1578,109,1383,52,663,715,1.13
BSE,1539,0,1501,0,720,720,1.13
CDSL,1539,743,378,356,181,537,1.13
CHENNPETRO,1578,1343,73,644,35,679,1.13
CHOICEIN,1578,1572,0,754,0,754,1.13
CHOLAFIN,1539,1453,26,697,12,709,1.13
COHANCE,1578,15,1329,7,637,644,1.13
CONCOR,1539,1274,168,611,80,691,1.13
CONCORDBIO,1578,1068,454,512,217,729,1.13
DLF,1539,1500,8,720,3,723,1.13
EMAMILTD,1578,703,628,337,301,638,1.13
FACT,1580,10,1538,4,738,742,1.13
GESHIP,1578,104,1328,49,637,686,1.13
GRAPHITE,1578,1125,311,540,149,689,1.13
HCLTECH,1539,1433,77,687,36,723,1.13
ICICIGI,1539,0,1526,0,732,732,1.13
JUBLFOOD,1539,1236,198,593,95,688,1.13
JYOTICNC,1578,1572,0,754,0,754,1.13
KAYNES,1539,1365,105,655,50,705,1.13
LAURUSLABS,1539,1410,92,676,44,720,1.13
LICHSGFIN,1539,812,625,389,300,689,1.13
MANKIND,1539,130,1242,62,596,658,1.13
MARICO,1539,1195,256,573,122,695,1.13
NAUKRI,1539,1400,111,672,53,725,1.13
OBEROIRLTY,1539,1475,33,708,15,723,1.13
OFSS,1539,1537,0,737,0,737,1.13
PATANJALI,1539,0,1451,0,696,696,1.13
POLICYBZR,1539,815,562,391,269,660,1.13
SUNPHARMA,1539,1203,189,577,90,667,1.13
SYNGENE,1578,9,1431,4,686,690,1.13
TATAINVEST,1578,304,944,145,453,598,1.13
TEGA,1579,146,1322,70,634,704,1.13
UNOMINDA,1539,1365,84,655,40,695,1.13
USHAMART,1578,1521,38,730,18,748,1.13
WOCKPHARMA,1578,239,1200,114,576,690,1.13
