symbol,total_15m_candles,buy_breakouts,sell_breakouts,est_buy_trades,est_sell_trades,est_total_trades,protection_multiplier
AARTIIND,1578,1364,180,477,62,539,1.15
ACMESOLAR,1578,1473,11,515,3,518,1.15
ADANIGREEN,1539,261,1132,91,396,487,1.15
AEGISLOG,1578,1553,0,543,0,543,1.15
ANURAS,1579,7,1223,2,428,430,1.15
ATGL,1578,114,1196,39,418,457,1.15
BERGEPAINT,1578,109,1383,38,484,522,1.15
BSE,1539,0,1501,0,525,525,1.15
CDSL,1539,743,378,260,132,392,1.15
CHENNPETRO,1578,1343,73,470,25,495,1.15
CHOICEIN,1578,1572,0,550,0,550,1.15
CHOLAFIN,1539,1453,26,508,9,517,1.15
COHANCE,1578,15,1329,5,465,470,1.15
CONCOR,1539,1274,168,445,58,503,1.15
CONCORDBIO,1578,1068,454,373,158,531,1.15
DLF,1539,1500,8,525,2,527,1.15
EMAMILTD,1578,703,628,246,219,465,1.15
FACT,1580,10,1538,3,538,541,1.15
GESHIP,1578,104,1328,36,464,500,1.15
GRAPHITE,1578,1125,311,393,108,501,1.15
HCLTECH,1539,1433,77,501,26,527,1.15
ICICIGI,1539,0,1526,0,534,534,1.15
JUBLFOOD,1539,1236,198,432,69,501,1.15
JYOTICNC,1578,1572,0,550,0,550,1.15
KAYNES,1539,1365,105,477,36,513,1.15
LAURUSLABS,1539,1410,92,493,32,525,1.15
LICHSGFIN,1539,812,625,284,218,502,1.15
MANKIND,1539,130,1242,45,434,479,1.15
MARICO,1539,1195,256,418,89,507,1.15
NAUKRI,1539,1400,111,489,38,527,1.15
OBEROIRLTY,1539,1475,33,516,11,527,1.15
OFSS,1539,1537,0,537,0,537,1.15
PATANJALI,1539,0,1451,0,507,507,1.15
POLICYBZR,1539,815,562,285,196,481,1.15
SUNPHARMA,1539,1203,189,421,66,487,1.15
SYNGENE,1578,9,1431,3,500,503,1.15
TATAINVEST,1578,304,944,106,330,436,1.15
TEGA,1579,146,1322,51,462,513,1.15
UNOMINDA,1539,1365,84,477,29,506,1.15
USHAMART,1578,1521,38,532,13,545,1.15
WOCKPHARMA,1578,239,1200,83,420,503,1.15
