symbol,total_15m_candles,buy_breakouts,sell_breakouts,est_buy_trades,est_sell_trades,est_total_trades,trend_multiplier
AARTIIND,1578,1364,180,572,75,647,1.08
ACMESOLAR,1578,1473,11,618,4,622,1.08
ADANIGREEN,1539,261,1132,109,475,584,1.08
AEGISLOG,1578,1553,0,652,0,652,1.08
ANURAS,1579,7,1223,2,513,515,1.08
ATGL,1578,114,1196,47,502,549,1.08
BERGEPAINT,1578,109,1383,45,580,625,1.08
BSE,1539,0,1501,0,630,630,1.08
CDSL,1539,743,378,312,158,470,1.08
CHENNPETRO,1578,1343,73,564,30,594,1.08
CHOICEIN,1578,1572,0,660,0,660,1.08
CHOLAFIN,1539,1453,26,610,10,620,1.08
COHANCE,1578,15,1329,6,558,564,1.08
CONCOR,1539,1274,168,535,70,605,1.08
CONCORDBIO,1578,1068,454,448,190,638,1.08
DLF,1539,1500,8,630,3,633,1.08
EMAMILTD,1578,703,628,295,263,558,1.08
FACT,1580,10,1538,4,645,649,1.08
GESHIP,1578,104,1328,43,557,600,1.08
GRAPHITE,1578,1125,311,472,130,602,1.08
HCLTECH,1539,1433,77,601,32,633,1.08
ICICIGI,1539,0,1526,0,640,640,1.08
JUBLFOOD,1539,1236,198,519,83,602,1.08
JYOTICNC,1578,1572,0,660,0,660,1.08
KAYNES,1539,1365,105,573,44,617,1.08
LAURUSLABS,1539,1410,92,592,38,630,1.08
LICHSGFIN,1539,812,625,341,262,603,1.08
MANKIND,1539,130,1242,54,521,575,1.08
MARICO,1539,1195,256,501,107,608,1.08
NAUKRI,1539,1400,111,588,46,634,1.08
OBEROIRLTY,1539,1475,33,619,13,632,1.08
OFSS,1539,1537,0,645,0,645,1.08
PATANJALI,1539,0,1451,0,609,609,1.08
POLICYBZR,1539,815,562,342,236,578,1.08
SUNPHARMA,1539,1203,189,505,79,584,1.08
SYNGENE,1578,9,1431,3,601,604,1.08
TATAINVEST,1578,304,944,127,396,523,1.08
TEGA,1579,146,1322,61,555,616,1.08
UNOMINDA,1539,1365,84,573,35,608,1.08
USHAMART,1578,1521,38,638,15,653,1.08
WOCKPHARMA,1578,239,1200,100,504,604,1.08
