symbol,total_15m_candles,buy_breakouts,sell_breakouts,est_buy_trades,est_sell_trades,est_total_trades,profit_multiplier
AARTIIND,1578,1364,180,613,81,694,1.05
ACMESOLAR,1578,1473,11,662,4,666,1.05
ADANIGREEN,1539,261,1132,117,509,626,1.05
AEGISLOG,1578,1553,0,698,0,698,1.05
ANURAS,1579,7,1223,3,550,553,1.05
ATGL,1578,114,1196,51,538,589,1.05
BERGEPAINT,1578,109,1383,49,622,671,1.05
BSE,1539,0,1501,0,675,675,1.05
CDSL,1539,743,378,334,170,504,1.05
CHENNPETRO,1578,1343,73,604,32,636,1.05
CHOICEIN,1578,1572,0,707,0,707,1.05
CHOLAFIN,1539,1453,26,653,11,664,1.05
COHANCE,1578,15,1329,6,598,604,1.05
CONCOR,1539,1274,168,573,75,648,1.05
CONCORDBIO,1578,1068,454,480,204,684,1.05
DLF,1539,1500,8,675,3,678,1.05
EMAMILTD,1578,703,628,316,282,598,1.05
FACT,1580,10,1538,4,692,696,1.05
GESHIP,1578,104,1328,46,597,643,1.05
GRAPHITE,1578,1125,311,506,139,645,1.05
HCLTECH,1539,1433,77,644,34,678,1.05
ICICIGI,1539,0,1526,0,686,686,1.05
JUBLFOOD,1539,1236,198,556,89,645,1.05
JYOTICNC,1578,1572,0,707,0,707,1.05
KAYNES,1539,1365,105,614,47,661,1.05
LAURUSLABS,1539,1410,92,634,41,675,1.05
LICHSGFIN,1539,812,625,365,281,646,1.05
MANKIND,1539,130,1242,58,558,616,1.05
MARICO,1539,1195,256,537,115,652,1.05
NAUKRI,1539,1400,111,630,49,679,1.05
OBEROIRLTY,1539,1475,33,663,14,677,1.05
OFSS,1539,1537,0,691,0,691,1.05
PATANJALI,1539,0,1451,0,652,652,1.05
POLICYBZR,1539,815,562,366,252,618,1.05
SUNPHARMA,1539,1203,189,541,85,626,1.05
SYNGENE,1578,9,1431,4,643,647,1.05
TATAINVEST,1578,304,944,136,424,560,1.05
TEGA,1579,146,1322,65,594,659,1.05
UNOMINDA,1539,1365,84,614,37,651,1.05
USHAMART,1578,1521,38,684,17,701,1.05
WOCKPHARMA,1578,239,1200,107,540,647,1.05
