symbol,timestamp,open,high,low,close,volume
ABCAPITAL,2026-07-13 09:15:00,405.0,405.0,399.2,404.9,153708.0
ABCAPITAL,2026-07-13 09:30:00,404.9,406.7,404.5,405.6,116252.0
ABCAPITAL,2026-07-13 09:45:00,405.55,406.85,405.15,405.7,77420.0
ABCAPITAL,2026-07-13 10:00:00,405.65,405.95,404.4,404.5,64944.0
ABCAPITAL,2026-07-13 10:15:00,404.65,406.0,404.45,405.6,57691.0
ABCAPITAL,2026-07-13 10:30:00,405.6,407.35,405.2,406.9,112301.0
ABCAPITAL,2026-07-13 10:45:00,406.8,407.0,405.15,405.9,39336.0
ABCAPITAL,2026-07-13 11:00:00,405.85,406.2,405.05,405.3,26222.0
ABCAPITAL,2026-07-13 11:15:00,405.3,406.0,405.15,405.85,21001.0
ABCAPITAL,2026-07-13 11:30:00,405.85,406.6,405.55,405.75,44365.0
ABCAPITAL,2026-07-13 11:45:00,405.75,405.8,403.25,403.3,72156.0
ABCAPITAL,2026-07-13 12:00:00,403.2,405.0,403.2,404.75,25454.0
ABCAPITAL,2026-07-13 12:15:00,404.6,405.4,404.5,405.2,31110.0
ABCAPITAL,2026-07-13 12:30:00,405.2,405.7,404.7,405.7,20393.0
ABCAPITAL,2026-07-13 12:45:00,405.65,406.9,405.2,406.9,71979.0
ABCAPITAL,2026-07-13 13:00:00,406.7,406.7,405.4,406.0,21772.0
ABCAPITAL,2026-07-13 13:15:00,405.9,406.0,404.25,404.5,22007.0
ABCAPITAL,2026-07-13 13:30:00,404.5,405.6,404.35,405.6,13925.0
ABCAPITAL,2026-07-13 13:45:00,405.5,406.6,405.3,405.7,24185.0
ABCAPITAL,2026-07-13 14:00:00,405.85,406.85,405.55,406.6,40364.0
ABCAPITAL,2026-07-13 14:15:00,406.6,408.5,406.1,407.7,68129.0
ABCAPITAL,2026-07-13 14:30:00,407.9,407.95,407.0,407.15,38616.0
ABCAPITAL,2026-07-13 14:45:00,407.35,408.4,406.95,407.65,42932.0
ABCAPITAL,2026-07-13 15:00:00,407.55,407.9,406.75,407.1,135547.0
ABCAPITAL,2026-07-13 15:15:00,407.0,408.0,406.35,407.0,182415.0
ABCAPITAL,2026-07-14 09:15:00,404.0,404.6,396.5,399.8,383857.0
ABCAPITAL,2026-07-14 09:30:00,399.7,400.05,394.05,395.8,262972.0
ABCAPITAL,2026-07-14 09:45:00,395.6,395.85,394.25,395.7,127740.0
ABCAPITAL,2026-07-14 10:00:00,395.65,396.15,395.0,395.9,157927.0
ABCAPITAL,2026-07-14 10:15:00,395.9,395.9,393.65,394.15,84393.0
ABCAPITAL,2026-07-14 10:30:00,394.2,394.25,392.1,392.65,208387.0
ABCAPITAL,2026-07-14 10:45:00,392.65,397.45,392.6,397.45,287042.0
ABCAPITAL,2026-07-14 11:00:00,397.6,399.0,395.35,395.9,520328.0
ABCAPITAL,2026-07-14 11:15:00,395.7,396.4,395.0,395.3,153127.0
