open,high,low,close,volume,symbol
475.0,477.0,472.7,475.05,58287.0,AARTIIND
475.0,475.85,468.75,469.3,56498.0,AARTIIND
468.9,469.35,466.1,466.4,56242.0,AARTIIND
466.4,467.55,466.05,467.4,34755.0,AARTIIND
467.0,467.55,466.0,466.75,23628.0,AARTIIND
466.75,467.45,466.5,467.2,10424.0,AARTIIND
466.65,467.6,465.85,467.35,56413.0,AARTIIND
467.35,467.55,465.3,466.8,26034.0,AARTIIND
466.8,467.35,465.25,466.05,12076.0,AARTIIND
466.45,466.7,465.4,466.7,20661.0,AARTIIND
466.7,466.7,465.0,465.5,32754.0,AARTIIND
465.55,466.2,465.0,465.55,7616.0,AARTIIND
465.4,466.0,465.1,465.55,13436.0,AARTIIND
465.3,465.6,464.65,465.1,14366.0,AARTIIND
465.2,465.95,464.8,465.7,5318.0,AARTIIND
465.85,468.75,465.3,466.7,48622.0,AARTIIND
466.7,466.9,465.85,466.9,49887.0,AARTIIND
466.9,468.6,466.5,467.6,55052.0,AARTIIND
467.95,468.25,465.55,465.85,62442.0,AARTIIND
465.85,466.85,465.5,466.35,5157.0,AARTIIND
466.6,466.65,464.5,465.8,20494.0,AARTIIND
465.85,465.95,464.0,464.85,23816.0,AARTIIND
464.95,465.2,463.7,464.65,29526.0,AARTIIND
464.65,468.25,464.25,467.8,168745.0,AARTIIND
467.6,467.95,465.65,466.05,76580.0,AARTIIND
466.5,471.0,464.5,464.95,98384.0,AARTIIND
465.15,467.0,464.15,465.75,86733.0,AARTIIND
465.9,467.95,464.3,464.6,92629.0,AARTIIND
464.5,465.0,463.55,463.85,24925.0,AARTIIND
463.6,463.85,461.5,463.25,43217.0,AARTIIND
463.25,468.9,463.2,468.85,100625.0,AARTIIND
468.45,468.75,465.65,466.25,57964.0,AARTIIND
466.0,466.35,465.95,466.2,8863.0,AARTIIND
466.0,467.4,465.9,467.25,50517.0,AARTIIND
467.25,467.45,466.15,466.45,12250.0,AARTIIND
466.2,466.45,466.0,466.0,7784.0,AARTIIND
466.4,466.45,466.0,466.25,8084.0,AARTIIND
465.9,466.6,465.45,466.05,12551.0,AARTIIND
466.0,466.35,465.7,466.35,55709.0,AARTIIND
466.35,466.35,465.65,466.25,3688.0,AARTIIND
466.0,466.3,465.65,466.0,24557.0,AARTIIND
466.0,466.25,465.65,466.0,5410.0,AARTIIND
466.25,467.7,466.0,466.45,21598.0,AARTIIND
466.0,466.5,465.95,466.2,15555.0,AARTIIND
466.2,466.5,466.0,466.0,15120.0,AARTIIND
466.1,466.5,465.5,466.15,14857.0,AARTIIND
466.1,466.45,466.0,466.0,20077.0,AARTIIND
466.2,466.95,465.9,466.0,27578.0,AARTIIND
466.1,466.5,465.75,466.0,58138.0,AARTIIND
466.1,466.25,465.0,466.2,90061.0,AARTIIND
466.05,467.7,460.4,461.45,38200.0,AARTIIND
461.6,462.4,459.4,461.85,40118.0,AARTIIND
461.85,462.15,459.85,460.35,26535.0,AARTIIND
460.5,460.95,459.1,459.1,23214.0,AARTIIND
459.1,459.75,458.2,459.05,21731.0,AARTIIND
458.45,462.25,458.2,461.95,61311.0,AARTIIND
461.95,461.95,459.0,460.1,109984.0,AARTIIND
460.25,460.45,459.2,459.8,6472.0,AARTIIND
459.7,460.2,459.0,459.45,6767.0,AARTIIND
459.2,459.85,459.0,459.35,25066.0,AARTIIND
459.35,459.65,459.0,459.65,12247.0,AARTIIND
459.15,459.7,458.95,459.2,17159.0,AARTIIND
459.2,459.6,459.05,459.2,17903.0,AARTIIND
459.25,459.25,458.95,459.2,46986.0,AARTIIND
459.2,459.65,459.05,459.2,21748.0,AARTIIND
459.2,459.25,458.95,459.2,8380.0,AARTIIND
459.25,459.5,459.15,459.25,9469.0,AARTIIND
459.25,460.0,459.2,460.0,5988.0,AARTIIND
460.0,460.25,459.65,459.8,3850.0,AARTIIND
459.8,460.15,459.25,459.65,14511.0,AARTIIND
459.65,459.85,459.0,459.2,18699.0,AARTIIND
459.25,459.75,459.2,459.2,9352.0,AARTIIND
459.25,459.5,458.9,459.2,84268.0,AARTIIND
459.2,459.25,455.0,457.05,229957.0,AARTIIND
457.05,458.05,456.5,457.0,57521.0,AARTIIND
457.0,459.25,455.25,457.15,44406.0,AARTIIND
457.15,462.55,457.15,460.05,36815.0,AARTIIND
459.95,460.45,458.6,460.45,11877.0,AARTIIND
460.25,461.4,456.35,456.8,15169.0,AARTIIND
456.35,456.85,455.0,455.05,30555.0,AARTIIND
455.1,456.1,455.05,455.35,11541.0,AARTIIND
455.35,456.55,455.3,455.45,13027.0,AARTIIND
455.4,458.0,454.5,457.7,29948.0,AARTIIND
457.55,458.8,456.75,457.95,16008.0,AARTIIND
458.35,458.4,456.85,457.05,27607.0,AARTIIND
457.05,457.85,457.05,457.65,13719.0,AARTIIND
459.05,459.65,458.2,458.45,8344.0,AARTIIND
458.9,459.9,458.65,459.05,5202.0,AARTIIND
459.25,461.55,458.55,461.4,11827.0,AARTIIND
461.2,461.3,460.25,461.25,7722.0,AARTIIND
461.1,461.2,460.05,461.0,8225.0,AARTIIND
461.0,461.3,460.05,460.2,5380.0,AARTIIND
460.55,460.9,460.0,460.55,5693.0,AARTIIND
460.5,461.8,460.2,461.2,19004.0,AARTIIND
461.2,461.7,460.4,461.05,11643.0,AARTIIND
460.95,461.35,460.3,460.75,4820.0,AARTIIND
460.8,461.6,460.0,460.45,9466.0,AARTIIND
460.45,460.85,459.8,459.95,11451.0,AARTIIND
459.85,459.85,457.25,457.85,25350.0,AARTIIND
457.75,462.0,456.05,462.0,92417.0,AARTIIND
461.0,469.8,460.0,461.2,56910.0,AARTIIND
460.8,461.6,458.3,458.95,25299.0,AARTIIND
458.55,461.0,458.5,460.0,19438.0,AARTIIND
460.4,460.8,458.55,459.75,7532.0,AARTIIND
459.75,461.35,459.4,460.55,18096.0,AARTIIND
460.6,460.95,459.05,459.05,10798.0,AARTIIND
459.0,463.8,459.0,463.5,27062.0,AARTIIND
463.75,464.0,463.05,463.8,11204.0,AARTIIND
463.55,464.85,462.55,462.6,18122.0,AARTIIND
462.65,464.65,462.05,463.95,10009.0,AARTIIND
464.05,464.5,463.5,464.0,11865.0,AARTIIND
464.15,467.85,464.0,466.7,55318.0,AARTIIND
467.0,469.0,466.0,467.4,27835.0,AARTIIND
467.4,469.6,467.35,468.65,24846.0,AARTIIND
468.35,473.65,468.05,473.3,60046.0,AARTIIND
472.8,473.2,470.7,471.1,18514.0,AARTIIND
470.75,470.85,468.9,469.45,12476.0,AARTIIND
469.5,470.7,468.55,469.15,11815.0,AARTIIND
468.65,472.15,468.65,469.75,29038.0,AARTIIND
469.7,469.7,468.3,468.9,12940.0,AARTIIND
468.85,471.45,467.7,470.25,28534.0,AARTIIND
470.2,471.1,468.65,469.2,12385.0,AARTIIND
469.25,469.6,468.35,468.7,9138.0,AARTIIND
468.9,469.2,467.05,467.15,17347.0,AARTIIND
467.0,468.65,466.0,466.0,39000.0,AARTIIND
468.0,477.0,468.0,476.2,72479.0,AARTIIND
476.2,480.8,475.4,479.1,89666.0,AARTIIND
479.3,481.7,478.3,480.3,68083.0,AARTIIND
480.5,485.5,480.05,484.65,168818.0,AARTIIND
484.95,486.0,483.25,483.25,50471.0,AARTIIND
483.7,483.7,482.5,482.95,27811.0,AARTIIND
483.3,483.35,481.2,482.3,57580.0,AARTIIND
482.3,485.95,480.95,485.45,58739.0,AARTIIND
485.45,488.0,485.1,486.1,100501.0,AARTIIND
486.0,487.8,485.7,486.0,34503.0,AARTIIND
486.2,486.6,483.3,485.05,35662.0,AARTIIND
485.15,485.25,482.3,482.9,36626.0,AARTIIND
482.95,483.35,482.0,482.5,19805.0,AARTIIND
482.5,483.2,480.6,481.4,15769.0,AARTIIND
481.55,481.55,480.5,480.7,14666.0,AARTIIND
480.75,481.9,480.55,481.1,10253.0,AARTIIND
480.85,481.45,480.55,480.65,7813.0,AARTIIND
480.8,481.35,480.25,480.7,9759.0,AARTIIND
480.6,480.9,479.85,480.6,13079.0,AARTIIND
480.55,484.0,480.05,482.8,19216.0,AARTIIND
483.0,483.45,482.55,482.6,7212.0,AARTIIND
482.6,483.0,481.65,482.35,11659.0,AARTIIND
482.4,483.0,482.05,482.25,8046.0,AARTIIND
482.6,483.45,482.0,482.65,26559.0,AARTIIND
482.4,483.0,480.3,482.0,65674.0,AARTIIND
485.0,487.4,483.0,485.0,83043.0,AARTIIND
485.4,486.9,482.6,483.3,26675.0,AARTIIND
483.1,484.4,480.65,482.4,26270.0,AARTIIND
482.4,482.95,481.5,481.95,14259.0,AARTIIND
482.15,482.35,481.1,481.2,8853.0,AARTIIND
481.25,482.05,480.5,480.8,14949.0,AARTIIND
480.95,481.0,480.45,481.0,5478.0,AARTIIND
480.65,484.5,479.15,483.6,24029.0,AARTIIND
483.85,484.0,482.6,483.25,12080.0,AARTIIND
483.55,483.8,482.3,482.75,6352.0,AARTIIND
483.3,483.3,482.05,482.3,5397.0,AARTIIND
482.65,484.8,482.0,483.8,8251.0,AARTIIND
483.6,483.75,482.55,483.2,7263.0,AARTIIND
482.85,483.25,480.9,481.45,10638.0,AARTIIND
481.45,482.0,481.05,481.55,4533.0,AARTIIND
481.55,482.65,481.0,481.65,11758.0,AARTIIND
481.8,482.0,480.55,481.25,6879.0,AARTIIND
481.35,481.5,480.15,480.8,7678.0,AARTIIND
480.8,484.4,480.5,483.75,24797.0,AARTIIND
484.15,486.4,482.5,482.7,46935.0,AARTIIND
483.1,484.85,480.35,484.0,31574.0,AARTIIND
483.8,487.0,483.35,486.9,37172.0,AARTIIND
486.0,489.7,486.0,487.8,72307.0,AARTIIND
487.45,488.1,486.15,487.65,38099.0,AARTIIND
487.5,489.0,487.0,488.4,72400.0,AARTIIND
485.3,493.9,483.9,490.05,122941.0,AARTIIND
490.7,493.5,490.25,491.4,48123.0,AARTIIND
491.6,494.55,491.3,492.85,58660.0,AARTIIND
493.3,496.6,492.55,494.5,105168.0,AARTIIND
494.5,495.5,492.7,493.55,49677.0,AARTIIND
493.55,493.75,489.05,489.4,36425.0,AARTIIND
489.25,490.3,488.6,489.55,20437.0,AARTIIND
490.45,491.0,488.6,490.5,28484.0,AARTIIND
490.75,492.9,490.5,491.35,21996.0,AARTIIND
491.85,493.7,491.85,493.3,14836.0,AARTIIND
493.2,493.6,491.4,492.25,19782.0,AARTIIND
492.7,499.0,492.25,497.3,120133.0,AARTIIND
498.5,501.0,494.8,495.05,138747.0,AARTIIND
495.0,495.45,492.4,492.85,35185.0,AARTIIND
492.6,492.95,489.7,490.5,74120.0,AARTIIND
490.3,490.95,488.6,489.9,18178.0,AARTIIND
489.85,490.45,489.05,490.1,15248.0,AARTIIND
490.2,490.3,488.0,488.8,18488.0,AARTIIND
488.8,489.0,487.7,487.85,12691.0,AARTIIND
487.85,490.25,487.3,489.3,21423.0,AARTIIND
489.3,489.55,488.05,488.6,7773.0,AARTIIND
488.55,490.9,488.55,489.5,17036.0,AARTIIND
489.5,489.5,487.25,488.3,20174.0,AARTIIND
488.3,489.0,487.1,488.55,34574.0,AARTIIND
488.65,490.3,487.9,489.0,36711.0,AARTIIND
490.0,490.05,483.45,484.4,55297.0,AARTIIND
484.4,485.75,483.55,484.4,22991.0,AARTIIND
484.4,485.9,483.0,485.25,19113.0,AARTIIND
485.0,486.5,483.5,484.0,19835.0,AARTIIND
484.0,484.25,482.0,482.5,14393.0,AARTIIND
482.8,483.2,481.7,482.0,13834.0,AARTIIND
482.0,482.95,481.0,481.05,11413.0,AARTIIND
481.15,481.95,481.1,481.55,4090.0,AARTIIND
481.65,482.55,481.2,481.65,21975.0,AARTIIND
482.0,482.25,481.5,481.8,3425.0,AARTIIND
481.85,481.85,481.15,481.85,3610.0,AARTIIND
481.85,481.9,481.3,481.6,2833.0,AARTIIND
481.3,482.15,481.1,481.75,3424.0,AARTIIND
481.55,481.55,479.3,479.6,27875.0,AARTIIND
479.8,480.55,478.8,479.25,21398.0,AARTIIND
479.25,480.2,477.75,479.55,10133.0,AARTIIND
479.5,479.85,478.95,479.7,3380.0,AARTIIND
479.8,480.05,479.05,479.85,3441.0,AARTIIND
480.05,480.8,479.55,480.45,5262.0,AARTIIND
480.55,481.65,480.25,480.85,14589.0,AARTIIND
480.65,481.6,480.55,480.95,3941.0,AARTIIND
481.45,481.6,480.0,481.35,6903.0,AARTIIND
481.4,481.9,480.2,480.55,10975.0,AARTIIND
480.7,480.7,478.0,478.7,18862.0,AARTIIND
478.7,479.0,477.0,478.6,26338.0,AARTIIND
478.0,478.0,472.0,476.7,26866.0,AARTIIND
476.65,476.65,474.2,475.1,9274.0,AARTIIND
474.55,475.8,474.25,475.8,8357.0,AARTIIND
476.05,478.85,474.65,478.3,9910.0,AARTIIND
478.2,478.8,477.35,478.5,10544.0,AARTIIND
478.6,480.0,478.2,480.0,9269.0,AARTIIND
