symbol,total,passed,rate,rejections
ABDL,1539,0,0.0,{}
ADANIENT,1497,0,0.0,{}
AEGISLOG,1539,0,0.0,{}
ASTERDM,1539,0,0.0,{}
AUBANK,1497,0,0.0,{}
AXISBANK,1497,0,0.0,{}
BAJAJFINSV,1497,0,0.0,{}
BAJFINANCE,1497,0,0.0,{}
BALRAMCHIN,1539,0,0.0,{}
CAPLIPOINT,1539,0,0.0,{}
CARBORUNIV,1539,0,0.0,{}
CHOLAFIN,1497,0,0.0,{}
FIVESTAR,1539,0,0.0,{}
HBLENGINE,1539,0,0.0,{}
HONASA,1539,0,0.0,{}
ICICIGI,1497,0,0.0,{}
ICICIPRULI,1497,0,0.0,{}
JYOTICNC,1539,0,0.0,{}
KAYNES,1497,0,0.0,{}
PIDILITIND,1497,0,0.0,{}
PIRAMALFIN,1539,0,0.0,{}
PNBHOUSING,1497,0,0.0,{}
POLICYBZR,1497,0,0.0,{}
PVRINOX,1539,0,0.0,{}
REDINGTON,1539,0,0.0,{}
SBICARD,1497,0,0.0,{}
SBILIFE,1497,0,0.0,{}
SIGNATURE,1540,0,0.0,{}
STARHEALTH,1539,0,0.0,{}
SUNTV,1539,0,0.0,{}
TATACHEM,1539,0,0.0,{}
TMCV,1539,0,0.0,{}
TRENT,1497,0,0.0,{}
USHAMART,1539,0,0.0,{}
WELCORP,1539,0,0.0,{}
WHIRLPOOL,1539,0,0.0,{}
