symbol,total,passed,rate,rejections
ABDL,1515,0,0.0,{}
ADANIENT,1473,0,0.0,{}
AEGISLOG,1515,0,0.0,{}
ASTERDM,1515,2,0.132013201320132,{}
AUBANK,1473,3,0.20366598778004072,{}
AXISBANK,1473,21,1.4256619144602851,{}
BAJAJFINSV,1473,2,0.1357773251866938,{}
BAJFINANCE,1473,8,0.5431093007467752,{}
BALRAMCHIN,1515,0,0.0,{}
CAPLIPOINT,1515,0,0.0,{}
CARBORUNIV,1515,0,0.0,{}
CHOLAFIN,1473,2,0.1357773251866938,{}
FIVESTAR,1515,0,0.0,{}
HBLENGINE,1515,0,0.0,{}
HONASA,1515,0,0.0,{}
ICICIGI,1473,1,0.0678886625933469,{}
ICICIPRULI,1473,2,0.1357773251866938,{}
JYOTICNC,1515,0,0.0,{}
KAYNES,1473,0,0.0,{}
PIDILITIND,1473,0,0.0,{}
PIRAMALFIN,1515,0,0.0,{}
PNBHOUSING,1473,0,0.0,{}
POLICYBZR,1473,1,0.0678886625933469,{}
PVRINOX,1515,0,0.0,{}
REDINGTON,1515,0,0.0,{}
SBICARD,1473,0,0.0,{}
SBILIFE,1473,0,0.0,{}
SIGNATURE,1516,0,0.0,{}
STARHEALTH,1515,0,0.0,{}
SUNTV,1515,0,0.0,{}
TATACHEM,1515,0,0.0,{}
TMCV,1515,3,0.19801980198019803,{}
TRENT,1473,2,0.1357773251866938,{}
USHAMART,1515,0,0.0,{}
WELCORP,1515,0,0.0,{}
WHIRLPOOL,1515,0,0.0,{}
